Andromeda,And,Andromedae,Perseus,Ptolemy,"The Chained Lady" or "The Princess",Alpheratz,Northern,Fall,November,Perseus - Cassiopeia - Lacerta - Pegasus - Pisces - Triangulum,Andromeda's mother (Cassiopeia) bragged that Andromeda was more beautiful than the Nereids (sea nymphs blessed with incredible beauty). The nymphs were offended and asked Poseidon to punish Cassiopeia. He commanded a sea monster named Cetus to attack Ethiopia. Andromeda's father (Cepheus) was told by the Oracle of Ammon that the only way to save the kingdom was to sacrifice Andromeda to Cetus. He chained her to a rock by the sea but she was saved by Perseus (In one version of the myth he used Medusa's head to turn Cetus to stone. In another version he slayed Cetus with his diamond sword). Afterwards the two married and had nine children. After Andromeda died Athena placed her in the sky as a constellation to honor her.,images/Modern/Andromeda/AndromedaSky.jpg,images/Modern/Andromeda/AndromedaStars.png,images/Modern/Andromeda/AndromedaMyth.jpg
Antlia,Ant,Antliae,La Caille,Lacaille 1763, pump,α Antliae,Southern,Unknown,April,Hydra - Pyxis - Vela - Centaurus,Nicolas-Louis de Lacaille first described it as "the Pneumatic Machine". It commemorated the air pump invented by French physicist Denis Papin. Lacaille catalogued this constellation at the Cape of Good Hope in Southern Africa. Note: He named all of his constellations (except one) in honor of instruments that symbolised the Age of Enlightenment.,images/Modern/Antlia/AntliaSky.jpg,images/Modern/Antlia/AntliaStars.png,images/Modern/Antlia/AntliaMyth.jpg
Apus,Aps,Apodis,Bayer,Uranometria (star atlas) 1603, Bird-of-paradise or Exotic Bird,α Apodis,Southern,Summer,July,Ara - Triangulum Australe - Circinus - Musca - Chamaeleon - Octans - Pavo,This constellation was created by Petrus Plancius from the observations of two others who sailed on the first Dutch trading expedition to the East Indies. It was called the "Bird of Paradise" in the first two star catalogues it was published in.,images/Modern/Apus/ApusSky.jpg,images/Modern/Apus/ApusStars.png,images/Modern/Apus/ApusMyth.jpg
Aquarius,Aqr,Aquarii,Zodiac,Ptolemy,Water-bearer,Sadalsuud,Northern/Southern,Fall/Spring,October,Pisces - Pegasus - Equuleus - Delphinus - Aquila - Capricornus - Piscis Austrinus - Sculptor - Cetus,Aquarius is identified as "The Great One" in the Babylonian star catalogues and represents the god Ea who is commonly shown as holding an overflowing vase. Aquarius was also associated with the regular destructive floods the Babylonians experienced.,images/Modern/Aquarius/AquariusSky.jpg,images/Modern/Aquarius/AquariusStars.png,images/Modern/Aquarius/AquariusMyth.jpg
Aquila,Aql,Aquilae,Hercules,Ptolemy,Eagle,Altair,Northern,Summer,September,Sagitta - Hercules - Ophiuchus - Serpens Cauda - Scutum - Sagittarius - Capricornus - Aquarius - Delphinus,Aquila represents the eagle who help Zeus's thunderbolts in Greco-Roman mythology. It is also associated with the eagle who kidnapped Ganymede who was a son of one of the kings of Troy. The eagle took Ganymede to Mount Olympus to serve as a cup-bearer to the gods.,images/Modern/Aquila/AquilaSky.jpg,images/Modern/Aquila/AquilaStars.png,images/Modern/Aquila/AquilaMyth.jpg
Ara,Ara,Arae,Hercules,Ptolemy,Alter,β Arae,Southern,Summer,July,Corona Australis - Scorpius - Norma - Triangulum Australe - Apus - Pavo - Telescopium,In ancient Greek mythology Ara was the altar where the gods made thir first offerings and formed an alliance before defeating the Titans. The nearby Milky Way represents smoke rising from one of the offerings on the altar.,images/Modern/Ara/AraSky.jpg,images/Modern/Ara/AraStars.png,images/Modern/Ara/AraMyth.jpg
Aries,Ari,Arietis,Zodiac,Ptolemy,Ram,Hamal,Northern,Winter,December,Perseus - Triangulum - Pisces - Celtus - Taurus,In ancient Egyptian astronomy Aries was associated with the god Amon-Ra who was depicted as a man with a ram's head. He represented fertility and creativity. In Hellenistic astrology Aries is associated with the golden ram of Greek mythology that rescued Phrixos and Helle (son and daughter of King Athamas and his first wife) by orders from Hermes. Athamas's second wife was jealous and wanted to kill his children. She induced a famine and tricked Athamas into thinking the oracle needed him to sacrafice Phrixos to end the famine but Aries stopped him from the act. Helle fell off Aries back and drowned. Afterwards Phrixos sacraficed Aries to Zeus and gave his fleece to Aeetes of Colchis who called it the "Golden Fleece" and had it guarded by a dragon.,images/Modern/Aries/AriesSky.jpg,images/Modern/Aries/AriesStars.png,images/Modern/Aries/AriesMyth.jpg
Auriga,Aur,Aurigae,Perseus,Ptolemy,Charioteer,Capella,Northern,Winter,February,Camelopardalis - Perseus - Taurus - Gemini - Lynx,In Greek mythology Auriga is identified as the Greek hero Erighthonius and was raised by Athena. He was credited to be the inventor of the quadriga which was a four-horse chariot which he used in the battle that made him the king of Athens. His own chariot was created in the image of the Sun's chariot. Zeus had him become a constellation after he dedicated himself to Athena.,images/Modern/Auriga/AurigaSky.jpg,images/Modern/Auriga/AurigaStars.png,images/Modern/Auriga/AurigaMyth.jpg
Boötes,Boo,Boötis,Ursa Major,Ptolemy,Herdsman,Arcturus,Northern,Summer,June,Virgo - Coma Berenices - Canes Venatici - Ursa Major - Draco - Hercules - Corona Borealis - Serpens Caput,The mythology regarding Bootes is unclear. The most popular myth is that he is a hunter and has two hounds that hunt with him. He is hunting the bears Ursa Major and Ursa Minor. Another myth says that Bootes was a herdsman who kept the celestial beasts together.,images/Modern/Bootes/BootesSky.jpg,images/Modern/Bootes/BootesStars.png,images/Modern/Bootes/BootesMyth.jpg
Caelum,Cae,Caeli,La Caille,Lacaille 1763,Chisel or graving tool,α Caeli,Southern,Winter,January,Columba - Lepus - Eridanus - Horologium - Dorado - Pictor,Caelum was named after an engraver's chisel by Nicolas Louis de Lacaille who founded thirteen other constellations all named after instruments from the Age of Enlightenment,images/Modern/Caelum/CaelumSky.jpg,images/Modern/Caelum/CaelumStars.png,images/Modern/Caelum/CaelumMyth.jpg
